winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity,maridaje
Hacienda Monasterio,Reserva,2016,4.5,297,Espana,Ribera del Duero,55.95,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
R. Lopez de Heredia,Vina Tondonia Gran Reserva,1995,4.5,292,Espana,Rioja,170.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Abadia Retuerta,Petit Verdot,2015,4.5,286,Espana,Sardon de Duero,107.9,Red,4.0,3.0,"Carnes, pastas, quesos"
Tomas Postigo,5o Ano Ribera del Duero Tinto,2011,4.5,264,Espana,Ribera del Duero,69.9,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Dominio del Bendito,El Titan del Bendito,2017,4.5,261,Espana,Toro,49.5,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Abadia Retuerta,Petit Verdot,2014,4.5,249,Espana,Sardon de Duero,176.98,Red,4.0,3.0,"Carnes, pastas, quesos"
Sierra Cantabria,Amancio,2012,4.5,246,Espana,Rioja,90.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Martinet,Clos Martinet,2014,4.5,230,Espana,Priorato,65.0,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Remirez de Ganuza,Trasnocho,2006,4.5,229,Espana,Rioja,95.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Adama Wines,Tinto,2009,4.5,229,Espana,Ribera del Duero,39.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Alion,Ribera del Duero,1995,4.5,226,Espana,Ribera del Duero,193.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Muga,Aro,2016,4.5,222,Espana,Rioja,174.91,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Vega Sicilia,Valbuena 5o,1987,4.5,221,Espana,Ribera del Duero,312.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Milsetentayseis,Tinto,2018,4.5,218,Espana,Ribera del Duero,52.9,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vina Sastre,Pago de Santa Cruz,2017,4.5,217,Espana,Ribera del Duero,40.9,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Espectacle del Montsant,Tinto,2013,4.5,214,Espana,Montsant,157.95,Montsant Red,4.0,3.0,"Carnes rojas, caza"
Tinto Pesquera,Millenium Gran Reserva,2015,4.5,213,Espana,Ribera del Duero,77.5,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vina Sastre,Regina Vides Ribera del Duero,2011,4.5,213,Espana,Ribera del Duero,116.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Alvaro Palacios,Finca Dofi,2006,4.5,207,Espana,Priorato,75.0,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Arzuaga,Gran Reserva Ribera del Duero,2015,4.5,205,Espana,Ribera del Duero,80.98,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Contino,Vina del Olivo,2017,4.5,203,Espana,Rioja,64.5,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Dominio de Pingus,Flor de Pingus,2019,4.5,201,Espana,Ribera del Duero,118.5,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Ferrer Bobet,Seleccio Especial Vinyes Velles,2015,4.5,197,Espana,Priorato,64.0,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Clos Mogador,Priorat,2003,4.5,196,Espana,Priorato,95.0,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Allende,Calvario Rioja,2009,4.5,194,Espana,Rioja,125.97,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Bodegas Valduero,Ribera del Duero Una Cepa I,2017,4.5,194,Espana,Ribera del Duero,26.5,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Matarromera,Ribera del Duero Prestigio,2015,4.5,190,Espana,Ribera del Duero,54.01,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vina Sastre,Regina Vides Ribera del Duero,2014,4.5,189,Espana,Ribera del Duero,104.9,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Familia Torres,Grans Muralles,2015,4.5,189,Espana,Conca de Barbera,170.5,Red,4.0,3.0,"Carnes, pastas, quesos"
Vina Sastre,Pesus Ribera del Duero,2014,4.5,189,Espana,Ribera del Duero,315.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Pazo Barrantes,Gran Vino Albarino,2019,4.5,188,Espana,Rias Baixas,34.9,Albarino,3.0,3.0,"Mariscos, pescados, arroces"
Arzuaga,Reserva Especial Ribera del Duero,2015,4.5,187,Espana,Ribera del Duero,51.5,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Tio Pepe,Cuatro Palmas Amontillado,N.V.,4.5,186,Espana,Jerez Amontillado,112.26,Sherry,4.0,3.0,"Aperitivos, sopas, mariscos"
Abadia Retuerta,Pago Garduna,2016,4.5,186,Espana,Castilla y Leon,71.85,Syrah,4.0,3.0,"Carnes rojas, caza, quesos"
Belondrade,Belondrade y Lurton,2020,4.5,184,Espana,Rueda,38.9,Verdejo,3.0,3.0,"Pescados, mariscos, ensaladas"
Pintia,Toro,2017,4.5,178,Espana,Toro,54.09,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2017,4.5,174,Espana,Rioja,67.9,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Sierra Cantabria,Finca el Bosque,2016,4.5,173,Espana,Rioja,80.95,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Alvear,Solera 1830 Pedro Ximenez,N.V.,4.5,171,Espana,Montilla-Moriles,114.5,Pedro Ximenez,5.0,1.0,"Postres, quesos azules"
Bodega Contador (Benjamin Romeo),Que Bonito Cacareaba Blanco,2018,4.5,170,Espana,Rioja,50.34,Rioja White,3.0,3.0,"Pescados, mariscos, arroces"
Tomas Postigo,5o Ano Ribera del Duero Tinto,2014,4.5,165,Espana,Ribera del Duero,57.96,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Marques de Riscal,Baron de Chirel Rioja Reserva,2016,4.5,163,Espana,Rioja,73.62,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Ossian,Capitel,2016,4.5,162,Espana,Castilla y Leon,144.78,Verdejo,3.0,3.0,"Pescados, mariscos, ensaladas"
Recaredo,Turo d'en Mota,2005,4.5,161,Espana,Cava,90.0,Cava,2.0,3.0,"Aperitivos, mariscos, postres"
Sierra Cantabria,Amancio,2015,4.5,156,Espana,Rioja,89.95,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Vina Sastre,Regina Vides Ribera del Duero,2015,4.5,154,Espana,Ribera del Duero,92.8,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Marques de Grinon,Emeritvs (Emeritus),2013,4.5,147,Espana,Dominio de Valdepusa,48.9,Red,4.0,3.0,"Carnes, pastas, quesos"
Vina Sastre,Regina Vides Ribera del Duero,2016,4.5,144,Espana,Ribera del Duero,70.55,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Recaredo,Turo d'en Mota,2006,4.5,142,Espana,Cava,110.0,Cava,2.0,3.0,"Aperitivos, mariscos, postres"
Martinet,Cami Pesseroles,2009,4.5,141,Espana,Priorato,139.3,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Dominio del Aguila,Reserva,2018,4.5,141,Espana,Ribera del Duero,59.8,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Sierra Cantabria,Amancio,2014,4.5,140,Espana,Rioja,75.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Cruz de Alba,Finca Los Hoyales Ribera del Duero,2015,4.5,140,Espana,Ribera del Duero,57.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Artadi,Vina El Pison,2013,4.5,137,Espana,Vino de Espana,253.47,Tempranillo,4.0,2.0,"Carnes rojas, quesos curados"
Emilio Rojo,Blanco,2017,4.5,134,Espana,Ribeiro,49.95,Unknown,4.0,3.0,unknown
Vina Sastre,Pesus Ribera del Duero,2015,4.5,134,Espana,Ribera del Duero,298.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Abadia Retuerta,Pago Garduna,2009,4.5,132,Espana,Castilla y Leon,73.6,Syrah,4.0,3.0,"Carnes rojas, caza, quesos"
Bodegas Mas Alta,La Basseta,2013,4.5,132,Espana,Priorato,58.0,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Territorio Luthier,Territorio Luthier Reserva,2016,4.5,128,Espana,Ribera del Duero,54.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Alion,Ribera del Duero,2018,4.5,128,Espana,Ribera del Duero,78.38,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,1988,4.5,126,Espana,Ribera del Duero,228.63,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Anima Negra,Son Negre,2011,4.5,121,Espana,Mallorca,228.9,Red,4.0,3.0,"Carnes, pastas, quesos"
Costers del Siurana,Clos de L'Obac,2010,4.5,121,Espana,Priorato,81.3,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2018,4.5,117,Espana,Ribera del Duero,165.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vina Sastre,Pago de Santa Cruz Gran Reserva Ribera del Duero,2014,4.5,115,Espana,Ribera del Duero,54.9,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Rafael Palacios,As Sortes Val do Bibei Godello,2020,4.5,115,Espana,Valdeorras,55.0,Unknown,4.0,3.0,unknown
Martinet,Cami Pesseroles,2010,4.5,113,Espana,Priorato,131.85,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Pago de Los Capellanes,Parcela El Picon Tinto,2015,4.5,113,Espana,Ribera del Duero,148.39,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Adama Wines,Tinto,2011,4.5,110,Espana,Ribera del Duero,39.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Jesus Madrazo,Seleccion Rioja,2015,4.5,107,Espana,Rioja,67.1,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Tinto Pesquera,Millenium Reserva,1996,4.5,106,Espana,Ribera del Duero,199.45,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Bodegas Naluar & Acediano,Acediano,2015,4.5,104,Espana,Ribera del Duero,52.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Marques de Caceres,Gaudium,2016,4.5,104,Espana,Rioja,34.9,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2017,4.5,103,Espana,Ribera del Duero,75.81,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Sierra Cantabria,Finca el Bosque,2017,4.5,103,Espana,Rioja,84.36,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Trus,Pico de Luyas,2016,4.5,103,Espana,Ribera del Duero,47.95,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Artadi,Grandes Anadas Rioja,2001,4.5,103,Espana,Rioja,391.65,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Juan Gil,Bruto,2019,4.5,104,Espana,Jumilla,32.5,Monastrell,5.0,3.0,"Carnes rojas, embutidos"
Muga,Aro,2004,4.5,102,Espana,Rioja,198.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Mestres,Mas Via Gran Reserva Brut,2004,4.5,102,Espana,Cava,40.33,Cava,2.0,3.0,"Aperitivos, mariscos, postres"
Alvaro Palacios,Les Aubaguetes Priorat,2015,4.5,99,Espana,Priorato,302.5,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Quinta de la Quietud,La Mula de la Quietud,2016,4.5,99,Espana,Toro,62.0,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Chivite,Navarra Coleccion 125 Blanco,2018,4.5,97,Espana,Navarra,49.1,Chardonnay,4.0,3.0,"Pescados, aves, quesos"
Marques de Murrieta,Dalmau Rioja,2015,4.5,97,Espana,Rioja,75.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Enate,Chardonnay Uno,2011,4.5,96,Espana,Somontano,200.13,Chardonnay,4.0,3.0,"Pescados, aves, quesos"
Toro Albala,Don PX Vieja Cosecha,1973,4.5,95,Espana,Montilla-Moriles,113.0,Pedro Ximenez,5.0,1.0,"Postres, quesos azules"
Bodega Ribas,Ribas de Cabrera,2018,4.5,94,Espana,Mallorca,68.4059721390231,Red,4.0,3.0,"Carnes, pastas, quesos"
Vinas del Cenit,Cenit,2012,4.5,92,Espana,Tierra del Vino de Zamora,37.5,Tempranillo,4.0,2.0,"Carnes rojas, quesos curados"
Artadi,El Carretil,2012,4.5,88,Espana,Vino de Espana,165.0,Tempranillo,4.0,2.0,"Carnes rojas, quesos curados"
Alvaro Palacios,Quinon de Valmira,2016,4.5,88,Espana,Rioja,415.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Bodegas Naluar & Acediano,Acediano,2014,4.5,87,Espana,Ribera del Duero,74.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Mas del Serral,Mas del Serral,2007,4.5,82,Espana,Penedes,192.16,Sparkling,2.0,3.0,"Aperitivos, postres, mariscos"
Cervoles,Estrats,2009,4.5,81,Espana,Costers del Segre,59.82,Red,4.0,3.0,"Carnes, pastas, quesos"
Anima Negra,Son Negre,2016,4.5,81,Espana,Mallorca,164.9,Red,4.0,3.0,"Carnes, pastas, quesos"
Diez Merito,Fino Imperial Amontillado 30 Anos,N.V.,4.5,81,Espana,Jerez Amontillado,94.9,Sherry,4.0,3.0,"Aperitivos, sopas, mariscos"
Valdespino,Coliseo Amontillado VORS,N.V.,4.5,81,Espana,Jerez Amontillado,199.0,Sherry,4.0,3.0,"Aperitivos, sopas, mariscos"
Sierra Cantabria,Finca el Bosque,2018,4.5,81,Espana,Rioja,85.95,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Familia Torres,Grans Muralles,2000,4.5,81,Espana,Conca de Barbera,125.05,Red,4.0,3.0,"Carnes, pastas, quesos"
Emilio Moro,Malleolus de Valderramiro,2018,4.5,82,Espana,Ribera del Duero,85.55,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Bodega Contador (Benjamin Romeo),Contador Rioja,2016,4.5,80,Espana,Rioja,317.75,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Adama Wines,Tinto,2010,4.5,79,Espana,Ribera del Duero,35.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
R. Lopez de Heredia,Vina Tondonia Gran Reserva Blanco,1981,4.5,78,Espana,Rioja Alta,274.95,Rioja White,3.0,3.0,"Pescados, mariscos, arroces"
Martinet,Cami Pesseroles,2014,4.5,78,Espana,Priorato,82.55,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Clos Mogador,Priorat,2019,4.5,76,Espana,Priorato,63.9,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Marques de Burgos,8000,2017,4.5,75,Espana,Ribera del Duero,29.95,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vina Sastre,Pesus Ribera del Duero,2009,4.5,75,Espana,Ribera del Duero,312.6,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Bodegas Mas Alta,La Basseta,2017,4.5,75,Espana,Priorato,58.95,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Artadi,La Poza de Ballesteros,2010,4.5,74,Espana,Vino de Espana,99.35,Tempranillo,4.0,2.0,"Carnes rojas, quesos curados"
Penafiel,Mironia Black Edition Tempranillo,2015,4.5,73,Espana,Ribera del Duero,49.5,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Bodegas Mas Alta,La Creu Alta,2015,4.5,73,Espana,Priorato,234.98,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Costers del Siurana,Miserere,2010,4.5,74,Espana,Priorato,78.5,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Muga,Prado Enea Gran Reserva,2015,4.5,72,Espana,Rioja,56.95,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Tobia,Alma Tobia Rioja,2015,4.5,72,Espana,Rioja,40.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Tresmano - Tr3smano,Tm,2016,4.5,71,Espana,Ribera del Duero,100.0,Tempranillo,4.0,2.0,"Carnes rojas, quesos curados"
Mas Doix,Doix,2017,4.5,71,Espana,Priorato,79.9,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Sei Solo,Tinto,2012,4.5,70,Espana,Ribera del Duero,63.5,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Miguel Merino,La Loma,2017,4.5,69,Espana,Rioja Alta,38.9,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Finca Villacreces,Nebro Ribera del Duero,2011,4.5,69,Espana,Ribera del Duero,154.5,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Clos Erasmus,Priorat,2012,4.5,69,Espana,Priorato,374.66,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Artadi,El Carretil,2015,4.5,66,Espana,Vino de Espana,143.51,Tempranillo,4.0,2.0,"Carnes rojas, quesos curados"
Virgen de la Asuncion,El Canto del Angel,2014,4.5,66,Espana,Ribera del Duero,59.95,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Artadi,Grandes Anadas Rioja,1998,4.5,66,Espana,Rioja,467.65,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Remirez de Ganuza,Rioja Blanco Reserva,2012,4.5,66,Espana,Rioja,65.5,Rioja White,3.0,3.0,"Pescados, mariscos, arroces"
Remirez de Ganuza,Gran Reserva,2011,4.5,65,Espana,Rioja,88.5,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Romate,Cayetano del Pino Viejisimo Palo Cortado,N.V.,4.5,61,Espana,Jerez Palo Cortado,25.92,Sherry,4.0,3.0,"Aperitivos, sopas, mariscos"
Allende,Calvario Rioja,2002,4.5,61,Espana,Rioja,95.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Dominio del Aguila,Gran Reserva Penas Aladas,2012,4.5,61,Espana,Ribera del Duero,559.02,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Martinet,Cami Pesseroles,2012,4.5,60,Espana,Priorato,115.85,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Vega Sicilia,Unico,1969,4.5,60,Espana,Ribera del Duero,976.83,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Sara Perez y Rene Barbier,Gratallops Partida Bellvisos,2005,4.5,59,Espana,Priorato,266.81,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Dehesa del Carrizal,Coleccion Privada,2017,4.5,59,Espana,Dehesa del Carrizal,26.9,Red,4.0,3.0,"Carnes, pastas, quesos"
Tarsus,Finca El Canto,2015,4.5,58,Espana,Ribera del Duero,89.66,Tempranillo,4.0,2.0,"Carnes rojas, quesos curados"
Hacienda Solano,Finca Cascorrales,2016,4.5,57,Espana,Ribera del Duero,64.3,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
La Rioja Alta,Rioja Gran Reserva 904,1987,4.5,57,Espana,Rioja,190.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Marques de Grinon,AAA,2004,4.5,56,Espana,Dominio de Valdepusa,141.2,Red,4.0,3.0,"Carnes, pastas, quesos"
Adama Wines,Tinto,2007,4.5,55,Espana,Ribera del Duero,32.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Beronia,Rioja Gran Reserva,1994,4.5,54,Espana,Rioja,61.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Monte Real,Gran Reserva,1964,4.5,54,Espana,Rioja,140.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Toro Albala,Marques de Poley Amontillado Seleccion 1951,1951,4.5,53,Espana,Montilla-Moriles,169.95,Pedro Ximenez,5.0,1.0,"Postres, quesos azules"
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2014,4.5,53,Espana,Ribera del Duero,49.9,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Enate,Reserva Especial,2006,4.5,53,Espana,Somontano,65.9,Red,4.0,3.0,"Carnes, pastas, quesos"
Divina Proporcion,Platon Tinto,2019,4.5,52,Espana,Toro,25.9,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Vina al Lado de la Casa,Altos de Las Gateras Monastrell,2013,4.5,51,Espana,Vino de Espana,58.19,Monastrell,5.0,3.0,"Carnes rojas, embutidos"
Dominio del Aguila,Canta la Perdiz,2013,4.5,51,Espana,Ribera del Duero,295.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Marques de la Concordia,Marques de la Concordia VSG Premium (formerly Hacienda de Susar Rioja),2016,4.5,50,Espana,Rioja,35.5,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Agusti Torello Mata,Cava Kripta Gran Reserva Brut Nature,2013,4.5,49,Espana,Cava,53.7,Cava,2.0,3.0,"Aperitivos, mariscos, postres"
Penafiel,Alba de Miros Rueda Verdejo,2019,4.5,49,Espana,Rueda,9.9,Verdejo,3.0,3.0,"Pescados, mariscos, ensaladas"
Carmelo Rodero,Ribera del Duero TSM,2006,4.5,48,Espana,Ribera del Duero,40.8333333333333,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Dominio de Cair,Pendon De La Aguilera,2010,4.5,47,Espana,Ribera del Duero,299.286840932831,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Valquejigoso,V2 Tinto,2009,4.5,49,Espana,Madrid,43.6838985,Red,4.0,3.0,"Carnes, pastas, quesos"
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2003,4.5,46,Espana,Priorato,1372.14,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Martinet,Cami Pesseroles,2016,4.5,46,Espana,Priorato,79.55,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Cal Pla,Planots Priorat,2013,4.5,46,Espana,Priorato,57.0,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Veigamoura,Blanco,2013,4.5,45,Espana,Rias Baixas,14.96,Unknown,4.0,3.0,unknown
Vizcarra,Celia,2011,4.5,44,Espana,Ribera del Duero,60.06,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Matarromera,Ribera del Duero Prestigio Pago de las Solanas,2010,4.5,44,Espana,Ribera del Duero,237.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Clos Erasmus,Priorat,1998,4.5,43,Espana,Priorato,993.28,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Legaris,Calmo,2014,4.5,43,Espana,Ribera del Duero,71.9,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Federico Paternina,Gran Reserva,1928,4.5,43,Espana,Rioja,270.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Marques de Murrieta,Dalmau Rioja,2000,4.5,42,Espana,Rioja,48.5,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Anima Negra,Son Negre,2005,4.5,42,Espana,Mallorca,200.0,Red,4.0,3.0,"Carnes, pastas, quesos"
Vinicola Real,Confesor Rioja,2004,4.5,42,Espana,Rioja,107.5,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Bodegas San Roman,Cartago Paraje de Pozo,2016,4.5,42,Espana,Toro,77.5,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Losada,La Bienquerida,2019,4.5,41,Espana,Bierzo,32.9,Mencia,3.0,3.0,"Carnes, guisos, embutidos"
Clos d'Agon,Seleccion Especial,2015,4.5,40,Espana,Cataluna,93.51,Red,4.0,3.0,"Carnes, pastas, quesos"
Sacristia AB,Saca Unica,N.V.,4.5,39,Espana,Jerez-Xeres-Sherry,96.38,Sherry,4.0,3.0,"Aperitivos, sopas, mariscos"
Huerta de Albala,Taberner No. 1,2011,4.5,38,Espana,Cadiz,75.0,Red,4.0,3.0,"Carnes, pastas, quesos"
Uvaguilera Aguilera,Palomero,2010,4.5,38,Espana,Ribera del Duero,44.95,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Ysios,Grano a Grano,2017,4.5,37,Espana,Rioja,75.0,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Finca Villacreces,Nebro Ribera del Duero,2015,4.5,37,Espana,Ribera del Duero,143.38,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Valbuena 5o,1976,4.5,37,Espana,Ribera del Duero,195.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Dehesa del Carrizal,Petit Verdot,2018,4.5,36,Espana,Dehesa del Carrizal,20.15,Red,4.0,3.0,"Carnes, pastas, quesos"
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2015,4.5,36,Espana,Bierzo,1373.66,Red,4.0,3.0,"Carnes, pastas, quesos"
Emilio Hidalgo,Santa Ana Pedro Ximenez 1861,N.V.,4.5,36,Espana,Jerez-Xeres-Sherry,320.0,Pedro Ximenez,5.0,1.0,"Postres, quesos azules"
Altos del Terral,Cuvee Julia Ribera del Duero,2011,4.5,35,Espana,Ribera del Duero,157.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Toro Albala,Don PX Seleccion,1949,4.5,34,Espana,Montilla-Moriles,295.0,Pedro Ximenez,5.0,1.0,"Postres, quesos azules"
Morca,Garnacha,2019,4.5,33,Espana,Campo de Borja,29.95,Grenache,5.0,3.0,"Carnes blancas, quesos suaves"
R. Lopez de Heredia,Vina Tondonia Gran Reserva,2001,4.5,33,Espana,Rioja,187.91,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
Martinet,Cami Pesseroles,2013,4.5,32,Espana,Priorato,113.2,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Descendientes de J. Palacios,Las Lamas Bierzo (Corullon),2018,4.5,32,Espana,Bierzo,120.0,Mencia,3.0,3.0,"Carnes, guisos, embutidos"
Castillo Perelada,Finca Garbet,2015,4.5,32,Espana,Emporda,89.9,Syrah,4.0,3.0,"Carnes rojas, caza, quesos"
Vinicola Real,200 Monges Rioja Reserva Seleccion Especial,2006,4.5,32,Espana,Rioja,59.25,Rioja Red,4.0,3.0,"Carnes rojas, caza, quesos"
El Regajal,Galia Clos Santuy,2016,4.5,32,Espana,Castilla y Leon,89.0,Red,4.0,3.0,"Carnes, pastas, quesos"
Valderiz,Tomas Esteban,2011,4.5,32,Espana,Ribera del Duero,71.3,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Jose Pariente,Finca Las Comas Verdejo,2018,4.5,32,Espana,Rueda,34.5,Verdejo,3.0,3.0,"Pescados, mariscos, ensaladas"
Vega Sicilia,Valbuena 5o,1975,4.5,31,Espana,Ribera del Duero,195.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Abadia Retuerta,Petit Verdot,2004,4.5,31,Espana,Sardon de Duero,160.81,Red,4.0,3.0,"Carnes, pastas, quesos"
Amos Baneres,Diables,2018,4.5,31,Espana,Penedes,38.75,Unknown,4.0,3.0,unknown
